business_id,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24
UkCVoAhBp-JUCYyld8lE9Q,Barbers,Beauty & Spas,,,,,,,,,,,,,,,,,,,,,,
3rptIkeGoVRdPF4v6omLOg,Beauty & Spas,Tanning,Skin Care,Hair Removal,Spray Tanning,Hair Salons,,,,,,,,,,,,,,,,,,
kqO-dgJ_Ww17qVJXsPTfnw,Bakeries,Food,Restaurants,,,,,,,,,,,,,,,,,,,,,
Nr5Reb9duw8GvZGXkbxsYw,Beauty & Spas,Nail Salons,,,,,,,,,,,,,,,,,,,,,,
cGHdjkXa2n9B2apkicdCXQ,Food,Coffee & Tea,,,,,,,,,,,,,,,,,,,,,,
vjLgZg0DH_9xwcujFNb0pA,Restaurants,Buffets,,,,,,,,,,,,,,,,,,,,,,
k2txj_3MKcZb07HbA9G45A,Arts & Entertainment,Amusement Parks,Arcades,Go Karts,Active Life,,,,,,,,,,,,,,,,,,,
_X7DZK842wnM4SiiZB0C6A,Home Services,Contractors,Insulation Installation,Roofing,,,,,,,,,,,,,,,,,,,,
O3OH5IEFMPtz7mPKakPZ3Q,Tapas Bars,Restaurants,French,Asian Fusion,Japanese,Seafood,,,,,,,,,,,,,,,,,,
4mzNBWLsX9kjYS-xaJ1a-g,Bookstores,Books,Mags,Music & Video,Shopping,,,,,,,,,,,,,,,,,,,
q7OKOkEK-pgAQNjDiVd4bA,American (Traditional),Restaurants,Burgers,,,,,,,,,,,,,,,,,,,,,
RXVkxU8B9kWGjtkabPdQxg,Firearm Training,Life Coach,Education,Specialty Schools,Active Life,Gun/Rifle Ranges,Professional Services,,,,,,,,,,,,,,,,,
tqY-YJAb5N3tnJ_9V-6GBw,Parks,Active Life,,,,,,,,,,,,,,,,,,,,,,
y-O3h7CV6X6P5ey1ZFcQwA,Health & Medical,Food Delivery Services,American (New),Restaurants,Specialty Food,Health Markets,Home Services,Desserts,Weight Loss Centers,Food,,,,,,,,,,,,,,
9CDnXjLYE97L68n7GgLLHQ,Doctors,Health & Medical,Dermatologists,,,,,,,,,,,,,,,,,,,,,
RxZaoIXXu8Eqb9RQbd9SMg,Pool Cleaners,Home Services,,,,,,,,,,,,,,,,,,,,,,
dGISLd9m-TX3yusugg6uEg,Adult Entertainment,Nightlife,,,,,,,,,,,,,,,,,,,,,,
BZLQLRiUZO5Ee2qVlB-Mww,Shopping,Trainers,Fitness & Instruction,Pilates,Climbing,Yoga,Active Life,Gyms,Sporting Goods,Sports Wear,Fashion,,,,,,,,,,,,,
L2VsOj0i-VMoDAedBCpxBA,Property Management,Home Services,Apartments,Real Estate,,,,,,,,,,,,,,,,,,,,
Qh7uyLS0pc0Aa1uLMsFR1w,Automotive,Auto Repair,Body Shops,Auto Detailing,,,,,,,,,,,,,,,,,,,,
1_iibQxnp0WhQH2m7kXtng,Doctors,Pediatricians,Health & Medical,,,,,,,,,,,,,,,,,,,,,
l8marUGARylyNd8yf40iew,Hair Salons,Nail Salons,Tanning,Beauty & Spas,Day Spas,,,,,,,,,,,,,,,,,,,
sXPuI9cwF8fOe08wedGebw,Hair Extensions,Hair Salons,Beauty & Spas,Blow Dry/Out Services,Hair Stylists,,,,,,,,,,,,,,,,,,,
VvfD3APb-sRGma7Q7457Iw,Professional Services,Financial Advising,Real Estate,Lawyers,Banks & Credit Unions,Mortgage Brokers,Home Services,Financial Services,,,,,,,,,,,,,,,,
cNd3G6WB3D8BUp46UX-J1A,Nightlife,,,,,,,,,,,,,,,,,,,,,,,
xz9o5hoBMtzeBeCmO6Ew7w,Furniture Stores,Shopping,Mattresses,Home & Garden,,,,,,,,,,,,,,,,,,,,
ILPp2_e6_PcKsHgv2FkuKA,Registration Services,Smog Check Stations,Automotive,,,,,,,,,,,,,,,,,,,,,
eS76100l3h7Ollb5s3_M4A,Bagels,Breakfast & Brunch,Restaurants,Coffee & Tea,Juice Bars & Smoothies,Bakeries,Food,,,,,,,,,,,,,,,,,
juVOz8a9ehjg83Gk51HKVA,IT Services & Computer Repair,Local Services,Mobile Phone Repair,,,,,,,,,,,,,,,,,,,,,
dpL2gSa1HHPeDX1cWdWH4g,Cosmetics & Beauty Supply,Shopping,Beauty & Spas,,,,,,,,,,,,,,,,,,,,,
jh_57byN1RMczrCUFOlOEA,Travel Services,Hotels & Travel,,,,,,,,,,,,,,,,,,,,,,
UM3pOzBrgUOHcEBahoS4JQ,Car Rental,Hotels & Travel,,,,,,,,,,,,,,,,,,,,,,
YNItN_xHKrxaT-xJIAUqkQ,Beauty & Spas,Hair Salons,,,,,,,,,,,,,,,,,,,,,,
qQQp8UzMhQK0-hZ3Bktbaw,Food,Bakeries,,,,,,,,,,,,,,,,,,,,,,
Zg8h0RmUHy7Ktel7wOfPfQ,Specialty Schools,Education,,,,,,,,,,,,,,,,,,,,,,
-g81bxMqgpfJQHUSDDljjg,Hotels & Travel,Resorts,Vacation Rentals,Event Planning & Services,Hotels,,,,,,,,,,,,,,,,,,,
zYYC8s2vpHeoHSCEwPNkMQ,Real Estate,Home Services,Home Inspectors,,,,,,,,,,,,,,,,,,,,,
1YdiQM-3oAQMPlFJbI0e0A,Health & Medical,Dentists,Pediatric Dentists,,,,,,,,,,,,,,,,,,,,,
GBT2NAN_-6PmL_xzabeh7A,Food,Beer,Wine & Spirits,,,,,,,,,,,,,,,,,,,,,
DtjIWUPMdPMgwcxF23xpOQ,Health & Medical,Doctors,Obstetricians & Gynecologists,,,,,,,,,,,,,,,,,,,,,
xyCPdlEFLheCWijxIUQT7Q,Automotive,Body Shops,,,,,,,,,,,,,,,,,,,,,,
-CdstAUdEvci8GeJG8owpQ,Home Services,Solar Installation,Heating & Air Conditioning/HVAC,,,,,,,,,,,,,,,,,,,,,
6fsEuvtwwaX6VnJiWN-k4Q,Maternity Wear,Health & Medical,Parenting Classes,Fashion,Day Spas,Diagnostic Services,Yoga,Diagnostic Imaging,Active Life,Beauty & Spas,Fitness & Instruction,Shopping,Massage Therapy,Specialty Schools,Education,,,,,,,,,
eBA96iy-lgUGpnQhQyC_dQ,Internal Medicine,Health & Medical,Doctors,,,,,,,,,,,,,,,,,,,,,
gSR9bmBa0HacSuMX5BIAxg,Bakeries,American (New),Food,Restaurants,,,,,,,,,,,,,,,,,,,,
9ManreFKkAoLAte0oqYvcA,Hobby Shops,Shopping,Electronics,,,,,,,,,,,,,,,,,,,,,
PyKr1RX29U21B8NZqW88qw,Nightlife,Adult Entertainment,,,,,,,,,,,,,,,,,,,,,,
rN3gHTjqx5sOnoUpJ-6jyg,Restaurants,Steakhouses,,,,,,,,,,,,,,,,,,,,,,
LwQB9H3jZ9wTk24Lr-AnZQ,American (Traditional),American (New),Restaurants,Pizza,,,,,,,,,,,,,,,,,,,,
D3wJGU2sSW1E1DDUcllKIQ,Oil Change Stations,Automotive,Auto Repair,,,,,,,,,,,,,,,,,,,,,
REJPrXEZly4PDQNmiMGI8Q,Mexican,Food,Restaurants,Specialty Food,Tacos,,,,,,,,,,,,,,,,,,,
3zCnPRue9C2O5k7Ed7QGGg,Threading Services,Beauty & Spas,Hair Removal,Makeup Artists,Eyelash Service,,,,,,,,,,,,,,,,,,,
iAVW3F69bWUxaClsisi2Pw,Hotels & Travel,Travel Services,Limos,Event Planning & Services,Nightlife,Transportation,,,,,,,,,,,,,,,,,,
YQ--LJ7pvjiDSqNv0TuKTQ,Restaurants,Pizza,,,,,,,,,,,,,,,,,,,,,,
flShaixBmJwKkJbSFyYBGw,Shopping,Hobby Shops,,,,,,,,,,,,,,,,,,,,,,
JDDg0KzpWJOO68PfMqfJbg,Jewelry,Cosmetics & Beauty Supply,Home Services,Beauty & Spas,Home & Garden,Home Decor,Rugs,Shopping,Lighting Fixtures & Equipment,,,,,,,,,,,,,,,
4hG2j_ibsNblDgqei05U_g,Japanese,Lounges,Bars,Nightlife,Asian Fusion,Restaurants,,,,,,,,,,,,,,,,,,
D9gzVEszRvC83V7nbldzUA,Local Services,Bail Bondsmen,,,,,,,,,,,,,,,,,,,,,,
jXhMBUdrtmZeK9lPD8BksA,Videographers,Session Photography,Photographers,Event Planning & Services,Event Photography,,,,,,,,,,,,,,,,,,,
_XM07jbQGliVPwnAfyyGUA,Kosher,Restaurants,,,,,,,,,,,,,,,,,,,,,,
mgc8BmE6Tdt4MVOy6siZoA,Food Court,Restaurants,Food,,,,,,,,,,,,,,,,,,,,,
sPd9YmvS6eSWzTvqowcBXA,Juice Bars & Smoothies,Sandwiches,Food,Restaurants,Breakfast & Brunch,,,,,,,,,,,,,,,,,,,
JXYeMN_VyIZyrveANnIVpA,Sandwiches,Restaurants,Fast Food,,,,,,,,,,,,,,,,,,,,,
DXn79Dzv8kpsMcNNKZHuRA,Specialty Food,Beer,Wine & Spirits,Imported Food,Food,Grocery,International Grocery,Ethnic Food,,,,,,,,,,,,,,,,
0gWg-kqRLEQbhui8b_v2Xw,Arts & Entertainment,Nightlife,Arcades,Bars,,,,,,,,,,,,,,,,,,,,
_ouQAO8mIQ3WN4DOmclm5Q,Automotive,Auto Repair,,,,,,,,,,,,,,,,,,,,,,
892U_SGiBR8UODoxczxvIA,Shopping,Wholesale Stores,Vape Shops,Hookah Bars,Nightlife,Tobacco Shops,Bars,Head Shops,,,,,,,,,,,,,,,,
ywFqPwASre0mlVBew_kqOg,Hobby Shops,Shopping,Wigs,,,,,,,,,,,,,,,,,,,,,
PTkQn5GeZbydb3v56SyxsQ,Active Life,Paintball,Local Flavor,,,,,,,,,,,,,,,,,,,,,
CUt0uFzXdENsDvHugqDlMQ,Tattoo,Beauty & Spas,,,,,,,,,,,,,,,,,,,,,,
KOtqasLVSfAgB7DKmr1kyA,Tires,Automotive,Auto Repair,,,,,,,,,,,,,,,,,,,,,
0K2rKvqdBmiOAUTebcUohQ,Education,Visitor Centers,Professional Services,Special Education,Local Services,Community Service/Non-Profit,Hotels & Travel,Travel Services,Gift Shops,Shopping,Parks,Hiking,Flowers & Gifts,Active Life,,,,,,,,,,
laa0uEuOSH3s1CKmXbu_cQ,Shopping,Men's Clothing,Fashion,Women's Clothing,,,,,,,,,,,,,,,,,,,,
zx7dFzsCz7e3PhnFVfSFHw,Photography Stores & Services,Electronics,Shopping,,,,,,,,,,,,,,,,,,,,,
Ohy6TtDSeJkVAtIHXP7pMw,Sandwiches,American (Traditional),Fast Food,Restaurants,,,,,,,,,,,,,,,,,,,,
GfsWCrv1bxR61XX4wyrsCQ,Local Services,Self Storage,,,,,,,,,,,,,,,,,,,,,,
Piw03nxAXZF86UYaVrDn1g,Italian,Restaurants,,,,,,,,,,,,,,,,,,,,,,
SnvwmR7Uh5eRJtnHHf5pJg,Shopping,Outlet Stores,,,,,,,,,,,,,,,,,,,,,,
0aKsGxx7XP2TMs_fn_9xVw,Food,Chocolatiers & Shops,Bakeries,Specialty Food,Desserts,,,,,,,,,,,,,,,,,,,
nepZ1HPAgBqw0TgJWbSgOA,American (Traditional),Food,Barbeque,Food Trucks,Restaurants,Caterers,Event Planning & Services,,,,,,,,,,,,,,,,,
3cg9xHj5dmm7wD37yojrcg,Shopping,Home & Garden,Furniture Stores,,,,,,,,,,,,,,,,,,,,,
tvQ6D_bcId7jfSz_8x_MgQ,Gas Stations,Automotive,,,,,,,,,,,,,,,,,,,,,,
wvb-37R-9R2geVjnV2NkDg,Home Services,Home Cleaning,Office Cleaning,Professional Services,,,,,,,,,,,,,,,,,,,,
uhQoPguihcZTo8yp5o2ohw,Buffets,Restaurants,,,,,,,,,,,,,,,,,,,,,,
Q6kZqLHy-ikjMW-lBCXnKA,Restaurants,Tex-Mex,Imported Food,Ethnic Food,Specialty Food,Food,,,,,,,,,,,,,,,,,,
apS6LUnyoOPJeA5zmkYhLg,Shoe Stores,Fashion,Shopping,Leather Goods,,,,,,,,,,,,,,,,,,,,
lv5Bnqlt93NnvNJ2oNcQ8Q,Tex-Mex,Mexican,Caterers,Restaurants,Event Planning & Services,Nightlife,Bars,,,,,,,,,,,,,,,,,
kXbiWx_knxIFonZ_JH7qfg,Automotive,Towing,,,,,,,,,,,,,,,,,,,,,,
pUX9gzo1Tf4vRv7hX0eP1g,Food,Meat Shops,Grocery,Ethnic Food,Mexican,Restaurants,Specialty Food,,,,,,,,,,,,,,,,,
G3ozjBO1Em8c9ymbkZeG4A,Doctors,Health & Medical,Cardiologists,,,,,,,,,,,,,,,,,,,,,
5qQw7i7nLfq_Y4a2oeCUrg,Eyewear & Opticians,Shopping,Optometrists,Health & Medical,,,,,,,,,,,,,,,,,,,,
FUUhJKIoxnnVJnvZxarrlA,Food,Health & Medical,Vitamins & Supplements,Tai Chi,Tea Rooms,Health Markets,Acupuncture,Active Life,Medical Centers,Shopping,Specialty Food,Fitness & Instruction,Nutritionists,Martial Arts,,,,,,,,,,
w_A1qFeQ3vOl7o4kdBxPXA,Restaurants,Asian Fusion,Coffee & Tea,Food,Karaoke,Bars,Nightlife,Cafes,Lounges,,,,,,,,,,,,,,,
KMzwCDLGEhN8ev4zjkPGbg,Doctors,Health & Medical,,,,,,,,,,,,,,,,,,,,,,
6YQehHZotIhhwO1Obih5MA,Weight Loss Centers,Medical Spas,Medical Centers,Health & Medical,Beauty & Spas,,,,,,,,,,,,,,,,,,,
TbUexA0430rXgQ0wnUKR2Q,Tree Services,Home Services,Pest Control,Local Services,Landscaping,,,,,,,,,,,,,,,,,,,
kihL3ob1VOlAaGNeJ0fClw,Food,Restaurants,Pizza,Italian,,,,,,,,,,,,,,,,,,,,
RSiKSGe9HZq4cOiUpTWmKg,Sports Bars,Nightlife,Bars,,,,,,,,,,,,,,,,,,,,,
oAbPUdAp-7HgJ9hHkanAbA,Restaurants,Shanghainese,Chinese,,,,,,,,,,,,,,,,,,,,,
dRfcsAi_Zw1Sp-xF5TwGow,Event Planning & Services,Wedding Planning,Flowers & Gifts,Florists,Shopping,,,,,,,,,,,,,,,,,,,
INddu5YoHHAOijKVVUHTVg,Nail Salons,Beauty & Spas,,,,,,,,,,,,,,,,,,,,,,
wHp7qBPKSqHG-P8rhRSfEw,Dentists,Endodontists,Cosmetic Dentists,Health & Medical,General Dentistry,,,,,,,,,,,,,,,,,,,
cmdMI_i2nNLocljzoe2WsA,Mortgage Brokers,Banks & Credit Unions,Home Services,Financial Services,Real Estate,,,,,,,,,,,,,,,,,,,
0sOwP5b_178FkbT_fat8lQ,Real Estate,Apartments,Home Services,,,,,,,,,,,,,,,,,,,,,
dJLfFGPhsacApLx3JgAi_w,Home Services,Apartments,Real Estate,,,,,,,,,,,,,,,,,,,,,
gWPx4v-yWVfp7h8EcjyzjQ,Hotels & Travel,Airport Shuttles,Transportation,,,,,,,,,,,,,,,,,,,,,
rVZfapnQgyVLsNWA583u-A,Chinese,Restaurants,,,,,,,,,,,,,,,,,,,,,,
Pu1-MwkF1yPWUH-76zN5wg,Professional Services,Lawyers,,,,,,,,,,,,,,,,,,,,,,
ucD4zt7QcZ-VspmdKS6PVw,Auto Parts & Supplies,Automotive,,,,,,,,,,,,,,,,,,,,,,
t8bm4ppGEBZG5fBZyzPjtg,Local Services,Community Service/Non-Profit,,,,,,,,,,,,,,,,,,,,,,
pRmb8_tAP5y4YPt_viL07g,Health Markets,Food,Grocery,Specialty Food,Organic Stores,,,,,,,,,,,,,,,,,,,
3PshdJtSwd_poaPL7fIOHg,Food,Food Court,American (New),Vegan,Sandwiches,Restaurants,Salad,,,,,,,,,,,,,,,,,
Delyh_0oCJJGPta5We_SlA,Electronics Repair,Local Services,IT Services & Computer Repair,Mobile Phone Repair,,,,,,,,,,,,,,,,,,,,
vKp4YDDs-UXxFyN0wbczWg,Beauty & Spas,Barbers,,,,,,,,,,,,,,,,,,,,,,
fHU098W-x_SKh0wrUsODFQ,Shopping,Toy Stores,Thrift Stores,Pawn Shops,Fashion,Baby Gear & Furniture,Children's Clothing,,,,,,,,,,,,,,,,,
aF9VooH7gC_loQ_G1MUcYw,Beauty & Spas,Nail Salons,,,,,,,,,,,,,,,,,,,,,,
gIPrEKqnJwaAH0ZyvnQHeg,Italian,Steakhouses,Restaurants,Seafood,American (Traditional),Mexican,Buffets,,,,,,,,,,,,,,,,,
HaPwC4nxs6RPfe1pAQkQ4A,Restaurants,Italian,Seafood,,,,,,,,,,,,,,,,,,,,,
dS9ZONUPUrjIFddT4WqrSw,Endodontists,Health & Medical,General Dentistry,Pediatric Dentists,Oral Surgeons,Dentists,Cosmetic Dentists,,,,,,,,,,,,,,,,,
Pe6MFhOa69NZIKHHjlQiNw,Food,Specialty Food,,,,,,,,,,,,,,,,,,,,,,
d8780v952K4jQm0bcGRVTA,Bars,Adult Entertainment,Nightlife,,,,,,,,,,,,,,,,,,,,,
B6bKy_XMKcbIZHmWr0D-iA,Coffee & Tea,Tea Rooms,Food,,,,,,,,,,,,,,,,,,,,,
aNGcHb8rjFFI9nY_fUgImg,American (New),Sushi Bars,Restaurants,,,,,,,,,,,,,,,,,,,,,
r7KMhYasW9mcoCH9oGsWfw,Arts & Entertainment,Performing Arts,,,,,,,,,,,,,,,,,,,,,,
cnBo56U9Js_OwZ7gmSsUnw,Food,Bakeries,Coffee & Tea,,,,,,,,,,,,,,,,,,,,,
3xmfT7l3xNH5LK1dLzfvGw,Casinos,Arts & Entertainment,Nightlife,Local Flavor,Bars,,,,,,,,,,,,,,,,,,,
q3oJ6bNRV3OoJrwc95GOwg,Food,Gastropubs,Restaurants,American (New),American (Traditional),Desserts,Street Vendors,Hot Dogs,,,,,,,,,,,,,,,,
kWWNy5NT2RRqXi0aycV5Fw,Infectious Disease Specialists,Doctors,Health & Medical,,,,,,,,,,,,,,,,,,,,,
5wDVsEJWzF8xpSmqReil9w,Food,Juice Bars & Smoothies,Ice Cream & Frozen Yogurt,,,,,,,,,,,,,,,,,,,,,
XWxYHSld0T2TfANwt1KmqA,Breakfast & Brunch,Latin American,American (New),Diners,Restaurants,,,,,,,,,,,,,,,,,,,
OcHZMxSYubLUg64aBU27sA,American (New),Hot Dogs,Cheesesteaks,Restaurants,,,,,,,,,,,,,,,,,,,,
hLu4q64lPvF--9gd58lcPg,Pizza,Restaurants,Sandwiches,,,,,,,,,,,,,,,,,,,,,
aboCJnAeMsglmhIaxJg2hQ,Newspapers & Magazines,Shopping,Books,Mags,Music & Video,,,,,,,,,,,,,,,,,,,
Pjg0ML-Se8fnbWgHHodGYQ,American (Traditional),Mexican,Diners,Restaurants,,,,,,,,,,,,,,,,,,,,
FWVWYdmlC_iV9L2_yGbnCg,Apartments,Home Services,Real Estate,,,,,,,,,,,,,,,,,,,,,
94BEy7wGKmrOC7sjSHMisw,Lounges,Restaurants,American (Traditional),Nightlife,Arts & Entertainment,Casinos,Bars,,,,,,,,,,,,,,,,,
Ol-4pE4rjiLSe34nrwi44A,Beauty & Spas,Nail Salons,,,,,,,,,,,,,,,,,,,,,,
1ZnVfS-qP19upP_fwOhZsA,Noodles,Malaysian,Soup,Taiwanese,Chinese,Restaurants,Asian Fusion,,,,,,,,,,,,,,,,,
uUlq6chIVb0I8AehlET5bQ,Fast Food,Restaurants,,,,,,,,,,,,,,,,,,,,,,
JYh9YwHBFW7_JPQ0IL5h-Q,Pool Cleaners,Home Services,,,,,,,,,,,,,,,,,,,,,,
lwgf0KJcrTOk8qSJzlySRQ,Oil Change Stations,Automotive,Auto Repair,Tires,,,,,,,,,,,,,,,,,,,,
t7E-GcprWiYB1Dc-4MzOnA,Automotive,Smog Check Stations,,,,,,,,,,,,,,,,,,,,,,
YZyyG21xcwPQLqYh8pI-Ow,Karaoke,Restaurants,Pubs,Fish & Chips,Bars,Chicken Wings,American (New),Nightlife,,,,,,,,,,,,,,,,
gf8hO_AVy4v_XNY66OGfcg,Car Wash,Automotive,Auto Detailing,,,,,,,,,,,,,,,,,,,,,
LfhZM9hs-Hl-4ztMq0zNaQ,Nail Salons,Beauty & Spas,,,,,,,,,,,,,,,,,,,,,,
hihud--QRriCYZw1zZvW4g,Restaurants,Barbeque,Asian Fusion,Japanese,Tapas/Small Plates,Korean,,,,,,,,,,,,,,,,,,
wQq2b5-NsJseMaCJ768ZXA,Fitness & Instruction,Active Life,Interval Training Gyms,Gyms,,,,,,,,,,,,,,,,,,,,
UIj1Hi5oxqmOuPbYmM7pIg,Home Theatre Installation,Security Systems,Electronics,Shopping,Home Services,,,,,,,,,,,,,,,,,,,
WexIGFr-I6eH4loUY6DILw,Musicians,Bars,Nightlife,Dive Bars,Restaurants,Event Planning & Services,Pizza,Gay Bars,,,,,,,,,,,,,,,,
4sPJCmq58cLc7O-_WneT1g,Physical Therapy,Occupational Therapy,Speech Therapists,Health & Medical,,,,,,,,,,,,,,,,,,,,
gPcphbeWmc7LVnpAWM_B9Q,Home Services,Commercial Real Estate,Real Estate Services,Real Estate,Real Estate Agents,,,,,,,,,,,,,,,,,,,
jMQNzP2a5eyOOf3F8DavjA,Auto Repair,Automotive,Oil Change Stations,Tires,,,,,,,,,,,,,,,,,,,,
